
#(1)                 (6)   (9)  (11)   (12) (13)           (14)        
#Name/ASCII          Con   mag    HIP     HD  RA(J2000)    Dec(J2000) 
Absolutno            Lyn  11.95      _      _ 116.716506    39.094572 
Lich                 Vir      _      _      _ 195.012701    12.682417 
Liesma               UMa   8.05  66192 118203 203.510581    53.728527 
Lilii Borea          Ari   4.52  13061  17361  41.977256    29.247115 
Lionrock             Aqr   7.60 110813 212771 336.762801   -17.263656 
Lucilinburhuc        Aur   7.89  30860  45350  97.190463    38.962962 
Lusitania            Mon   8.10  30905  45652  97.304966    10.933891 
Maasym               Her   4.41  85693 158899 262.684626    26.110645 
Macondo              Ant   8.30  52521  93083 161.087146   -33.577024 
Mago                 Cam   6.43  24003  32518  77.403000    69.639404 
Mahasim              Aur   2.65  28380  40312  89.930292    37.212585 
Mahsati              Oph   8.38  82651 152581 253.431594    11.973748 
Maia                 Tau   3.87  17573  23408  56.456695    24.367751 
Malmok               Vir  11.89      _      _ 217.326730    -3.444501 
Marfik               Oph   3.82  80883 148857 247.728453     1.983888 
Markab               Peg   2.49 113963 218045 346.190223    15.205267 
Markeb               Vel   2.47  45941  81188 140.528407   -55.010667 
Marohu               Aqr  11.98      _      _ 348.157237   -22.673966 
Marsic               Her   5.00  79043 145001 242.018857    17.046980 
Matar                Peg   2.93 112158 215182 340.750579    30.221244 
Mazaalai             UMa  11.56      _      _ 171.274941    41.027964 
Mebsuta              Gem   3.06  32246  48329 100.983026    25.131127 
Megrez               UMa   3.32  59774 106591 183.856503    57.032615 
Meissa               Ori   3.39  26207  36861  83.784486     9.934156 
Mekbuda              Gem   4.01  34088  52973 106.027215    20.570295 
Meleph               Cnc   6.29  42556  73731 130.112544    19.544809 
Menkalinan           Aur   1.90  28360  40183  89.882179    44.947433 
Menkar               Cet   2.54  14135  18884  45.569885     4.089737 
Menkent              Cen   2.06  68933 123139 211.670617   -36.369958 
Menkib               Per   3.98  18614  24912  59.741253    35.791032 
Merak                UMa   2.34  53910  95418 165.460319    56.382426 
Merga                Boo   5.76  72487 130945 222.327791    46.116206 
Meridiana            CrA   4.11  94114 178253 287.368087   -37.904473 
Merope               Tau   4.14  17608  23480  56.581552    23.948348 
Mesarthim            Ari   4.75   8832  11502  28.382560    19.293852 
Miaplacidus          Car   1.67  45238  80007 138.299906   -69.717208 
Mimosa               Cru   1.25  62434 111123 191.930263   -59.688764 
Minchir              Hya   4.45  42402  73471 129.689323     3.341436 
Minelauva            Vir   3.39  63090 112300 193.900869     3.397470 
Mintaka              Ori   2.25  25930  36486  83.001667    -0.299095 
Mira                 Cet   6.47  10826  14386  34.836617    -2.977640 
Mirach               And   2.07   5447   6860  17.433013    35.620557 
Miram                Per   3.77  13268  17506  42.674207    55.895497 
Mirfak               Per   1.79  15863  20902  51.080709    49.861179 
Mirzam               CMa   1.98  30324  44743  95.674939   -17.955919 
Misam                Per   3.79  14668  19476  47.374048    44.857541 
Mizar                UMa   2.23  65378 116656 200.981429    54.925362 
Moldoveanu           CrB  11.28      _      _ 240.549360    28.169561 
