HR,Name,DM,HD,SAO,FK5,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Vmag,SpType,Parallax
4169,,CP-58 2411,92207,238271,,10,37,26.8,-,58,44,0,5.45,A0Iae,
4170,,CP-75  678,92209,256730,2847,10,35,24.8,-,76,18,33,6.3,K2III,
4171,Phi3Hya,BD-16 3100,92214,156122,2850,10,38,35,-,16,52,36,4.91,G8IIIFe-0.5,0.014
4172,,BD-11 2925,92245,156124,,10,38,50.4,-,12,26,37,6.04,A0Vn,
4173,,CP-56 3588,92287,238278,,10,38,2.5,-,57,15,23,5.91,B3IV,
4174,Gam Cha,CP-77  622,92305,256731,401,10,35,28.1,-,78,36,28,4.11,M0III,0.009
4175,,CD-42 6390,92328,222222,2853,10,38,50.3,-,42,45,13,6.11,Am+Am:,
4176,,BD+69  583,92354,15260,,10,41,48.3,+,68,26,36,5.75,gK3,0
4177,,CP-58 2460,92397,238295,,10,38,45.1,-,59,10,59,4.66,K4-5III:,0.016
4178,38    UMa,BD+66  678,92424,15261,2855,10,41,56.6,+,65,42,59,5.12,K2III,0.026
4179,,CP-58 2474,92436,238304,,10,38,59.4,-,58,49,1,5.92,M1III,
4180,,CP-54 3915,92449,238309,402,10,39,18.4,-,55,36,12,4.28,G2-3Ib,0.023
4181,,BD+69  586,92523,15269,403,10,43,4.1,+,69,4,34,5,K3III-IIIb,0.005
4182,33    Sex,BD-00 2364,92588,137728,404,10,41,24.2,-,1,44,30,6.26,K1IV,0.026
4183,,CD-35 6646,92589,201631,2856,10,40,51.6,-,35,44,30,6.37,G8-K0III+F-G,
4184,,BD+32 2066,92620,62206,,10,42,11.3,+,31,41,49,6.02,M4III,
4185,,CP-64 1403,92664,251059,,10,40,11.3,-,65,6,2,5.52,B9pSi,
4186,,CP-73  758,92682,256742,,10,39,16.6,-,74,29,37,6.07,K3II,
4187,39    UMa,BD+57 1286,92728,27748,,10,43,43.3,+,57,11,57,5.8,A0V s,
4188,,CP-59 2450,92740,238353,,10,41,17.6,-,59,40,37,6.42,WN7-A,
4189,40    LMi,BD+27 1927,92769,81485,,10,43,1.8,+,26,19,32,5.51,A4Vn,
4190,,BD-13 3197,92770,156170,,10,42,31.3,-,13,58,30,6.24,K2,
4191,,BD+46 1657,92787,43444,1276,10,43,32.9,+,46,12,14,5.18,F5III,0.021
4192,41    LMi,BD+23 2253,92825,81490,405,10,43,25,+,23,11,18,5.08,A3Vn,0.016
4193,35    Sex,BD+05 2384,92841,118449,,10,43,20.9,+,4,44,52,5.79,K3III+K0III,0.003
4194,,CD-32 7572,92845,201665,1277,10,42,43.2,-,32,42,57,5.64,A0V,
4195,,BD+68  617,92839,15274,,10,45,4,+,67,24,41,6,C5II,
4196,,CP-63 1589,92938,251078,,10,42,14,-,64,27,59,4.82,B4V,
4197,,BD+20 2514,92941,81496,,10,44,14.5,+,19,45,31,6.27,A5V,
4198,,CP-58 2581,92964,238379,,10,42,40.6,-,59,12,57,5.38,B2.5Iae,
4199,The Car,CP-63 1599,93030,251083,406,10,42,57.4,-,64,23,40,2.76,B0Vp,
4200,,CP-59 2532,93070,251090,,10,43,32.1,-,60,34,0,4.57,K4III,0.02
4201,36    Sex,BD+03 2408,93102,118473,,10,45,9.4,+,2,29,17,6.28,K4III,
4202,41    UMa,BD+58 1281,93132,27760,,10,46,22.5,+,57,21,57,6.34,M1III,
4203,42    LMi,BD+31 2180,93152,62236,407,10,45,51.9,+,30,40,56,5.24,A1Vn,
4204,,CP-63 1619,93163,251095,,10,43,51.2,-,64,14,56,5.77,B2.5V,
4205,,CP-63 1623,93194,251096,,10,44,6.9,-,63,57,40,4.82,B5Vn,
4206,,CP-79  548,93237,256745,,10,41,51.3,-,79,47,0,5.97,B4IVe,
4207,,BD+07 2356,93244,118483,1278,10,46,5.7,+,6,22,23,6.37,gK1,
4208,51    Leo,BD+19 2371,93257,99281,1279,10,46,24.5,+,18,53,29,5.49,gK3,
4209,52    Leo,BD+14 2294,93291,99282,2860,10,46,25.3,+,14,11,41,5.48,gG4,
4210,Eta Car,CP-59 2620,93308,238429,,10,45,3.6,-,59,41,3,6.21,pec,
4211,,CP-70 1183,93344,256750,,10,44,19.4,-,70,51,36,6.26,A5IV-V,
4212,,CP-70 1185,93359,256751,,10,44,32.1,-,70,51,18,6.46,A6IV,
4213,,CP-71 1118,93372,256752,,10,44,26.5,-,72,26,38,6.27,F6V,
4214,,BD-16 3124,93397,156221,,10,46,52,-,17,17,48,5.42,A3V,
4215,,BD+65  803,93427,15298,,10,48,50,+,65,7,56,6.39,A1V,
4216,Mu  Vel,CD-48 5913,93497,222321,,10,46,46.2,-,49,25,12,2.69,G5III+G2V,0.022
